Run	Number_correct	Number_incorrect	Accuracy	root_mean_squared_error	mean_squared_error	num_true_pos	num_true_neg	num_false_pos	num_false_neg
0	55.0	81.0	0.40441176470588236	0.488093530091976	0.488093530091976	0.0	102.0	0.0	34.0
1	110.0	162.0	0.40441176470588236	0.48809353009197576	0.48809353009197576	0.0	204.0	0.0	68.0
2	165.0	243.0	0.40441176470588236	0.48809353009197715	0.48809353009197715	0.0	306.0	0.0	102.0
3	220.0	324.0	0.40441176470588236	0.4880935300919778	0.4880935300919778	0.0	408.0	0.0	136.0
4	275.0	405.0	0.40441176470588236	0.4880935300919782	0.4880935300919782	0.0	510.0	0.0	170.0
5	330.0	486.0	0.40441176470588236	0.4880935300919785	0.4880935300919785	0.0	612.0	0.0	204.0
6	385.0	567.0	0.40441176470588236	0.4880935300919787	0.4880935300919787	0.0	714.0	0.0	238.0
7	440.0	648.0	0.40441176470588236	0.48809353009197864	0.48809353009197864	0.0	816.0	0.0	272.0
8	495.0	729.0	0.40441176470588236	0.4880935300919768	0.4880935300919768	0.0	918.0	0.0	306.0
9	550.0	810.0	0.40441176470588236	0.4880935300919754	0.4880935300919754	0.0	1020.0	0.0	340.0
